Frame,AnkleX,AnkleY,HeelX,HeelY,MetatX,MetatY,ToeX,ToeY,KneeX,KneeY,HipX,HipY,angle_old,angle,Cuff_x,Cuff_y,thigh_length,spring length,GroundRX,GroundRY,AnkleRX,AnkleRY,GroundCoFPX,AnkleM,KneeRX,KneeRY,KneeM,HipRX,HipRY,HipM,FootAA,FootAX,FootAY,FootCoMX,FootCoMY,LegAX,LegAY,LegAA,LegCoMX,LegCoMY,ThighAA,ThighAX,ThighAY,ThighCoMX,ThighCoMY,average_spring_length,old_frame
21,130.1,9.23,124.24,4.52,140.02,3.75,147.27,4.52,130.86,51.6,123.1,82.27,-75.80123444,75.80123444,127.425989,65.17230889,31.6364742,19.64478378,-79.8,589.9,78.5,-581.7,1.321,-3.5,63.7,-558.2,32.5,39,-512.7,5,4.56,-1.64,0.46,1.351,0.064,-5.57,-0.98,14.51,1.306,0.334,-20.92,-4.34,-1.77,1.265,0.691,24.42694502,38
22,130.53,9.61,124.55,4.9,140.45,3.75,147.33,5.28,132.18,52.36,124.93,83.03,-76.70014292,76.70014292,128.9593377,65.98451225,31.51525662,19.74747477,-62,558.1,60.3,-550.2,1.322,-5.1,47.2,-525.1,28.1,22.5,-478.1,3,-1.79,-2.06,0.1,1.352,0.065,-4.93,-0.39,10.97,1.312,0.334,-12.96,-4.36,-1.52,1.28,0.693,24.04241002,39
23,130.37,9.35,124.64,4.26,140.55,3.5,147.04,4.77,133.04,51.35,126.94,82.78,-79.01646568,79.01646568,130.3726236,65.09354769,32.01647857,20.60291338,-48.7,516.7,47.2,-508.7,1.325,-6.6,36.8,-481.5,24.8,13.4,-431.6,4.7,-4.87,-1.91,0.16,1.352,0.065,-3.89,0.4,7.87,1.317,0.334,-4.84,-4.13,-1.01,1.294,0.694,24.2710437,40
24,130.27,9.61,124.67,4.77,139.94,3.63,147.19,4.52,133.58,51.73,128.61,83.03,-80.97755997,80.97755997,131.384502,65.55677796,31.69212678,20.76837243,-39.8,473.4,38.8,-465.3,1.333,-10.5,32.2,-436.1,20.2,12.3,-383,6.5,-7.39,-1.21,0.43,1.352,0.065,-2.49,1.14,5.13,1.322,0.334,2.16,-3.5,-0.44,1.307,0.695,23.82470193,41
25,129.98,8.97,123.75,4.77,139.91,3.37,146.91,4.77,134.31,51.35,130.24,83.03,-82.67918508,82.67918508,132.5260508,65.23587502,31.94037101,21.30369663,-33,433.4,32.7,-425.2,1.335,-10.6,29.8,-395.6,19.8,15.2,-341.7,12,-10.28,-0.4,0.54,1.352,0.065,-1.08,1.31,2.56,1.326,0.334,6.84,-2.56,-0.31,1.32,0.695,23.8090933,42
26,130.39,9.61,124.54,4.14,140.19,3.5,147.31,4.52,134.72,50.96,132.04,82.9,-85.2036993,85.2036993,133.5494109,64.91097564,32.05223861,21.90022403,-27,400.3,27.2,-392.2,1.345,-14.1,27.4,-364.4,15.8,18.7,-314.3,12.5,-12.53,0.26,0.31,1.351,0.066,0.06,0.64,0.58,1.329,0.334,8.52,-1.53,-0.97,1.332,0.696,23.93467354,43
27,130.23,9.61,124.12,4.52,139.9,4.01,146.78,4.26,135.7,52.62,133.03,83.41,-85.04391049,85.04391049,134.4905085,66.5676568,30.90554966,20.9976992,-21.8,377.1,22.4,-369.4,1.358,-18.7,24.6,-344.7,10.9,21,-301.1,10.9,-12.14,0.76,-0.11,1.351,0.066,0.82,-0.53,-0.22,1.333,0.335,7.81,-0.65,-2.12,1.344,0.697,23.18759495,44
28,129.89,9.48,123.91,4.77,139.82,3.63,146.95,4.26,136.26,51.86,134.86,83.54,-87.46963589,87.46963589,135.6419164,65.84634951,31.71091926,22.08580998,-18.1,365,19,-357.6,1.369,-22.5,22.3,-335.4,7.8,21.9,-296.7,10.1,-8.07,1.07,-0.47,1.351,0.067,1.24,-1.5,0.1,1.337,0.336,6.1,-0.07,-2.99,1.355,0.697,23.51841533,45
29,130.22,10.24,124.37,4.9,140.02,3.37,147.02,4.77,137.09,51.86,136.2,83.8,-88.40388065,88.40388065,136.7000449,65.85456805,31.95239741,22.45634243,-16.6,362.3,17.4,-355,1.377,-25.3,21,-333.8,6.6,22.5,-295.3,11.2,-1.88,1.1,-0.6,1.351,0.067,1.34,-1.86,0.69,1.341,0.336,4.22,0.26,-3.02,1.367,0.696,23.66715884,46
30,130.06,9.99,124.08,4.77,140.11,3.75,146.99,4.26,137.95,51.47,138.08,82.9,89.76301594,90.23698406,138.152094,100.3301198,31.43026885,22.31133432,-16.8,366.5,17.6,-359.1,1.384,-27.9,21,-337.2,6.6,24.4,-295,13.8,3.55,0.96,-0.45,1.351,0.067,1.27,-1.62,0.65,1.345,0.335,2.22,0.61,-2.35,1.378,0.695,23.31028781,47
