Frame,AnkleX,AnkleY,HeelX,HeelY,MetatX,MetatY,ToeX,ToeY,KneeX,KneeY,HipX,HipY,GroundRX,GroundRY,AnkleRX,AnkleRY,GroundCoFPX,AnkleM,KneeRX,KneeRY,KneeM,HipRX,HipRY,HipM,FootAA,FootAX,FootAY,FootCoMX,FootCoMY,LegAX,LegAY,LegAA,LegCoMX,LegCoMY,ThighAA,ThighAX,ThighAY,ThighCoMX,ThighCoMY
42,116.982,8.97,123.75,4.77,139.91,3.37,146.91,4.77,120.879,51.35,117.216,83.03,-33,433.4,32.7,-425.2,1.335,-10.6,29.8,-395.6,19.8,15.2,-341.7,12,-10.28,-0.001,0.532,1.352,0.065,-0.405,1.134,2.56,1.326,0.334,6.84,-1.943,-0.468,1.32,0.695
43,117.351,9.61,124.54,4.14,140.19,3.5,147.31,4.52,121.248,50.96,118.836,82.9,-27,400.3,27.2,-392.2,1.345,-14.1,27.4,-364.4,15.8,18.7,-314.3,12.5,-12.53,0.57,0.069,1.351,0.066,0.566,0.072,0.58,1.329,0.334,8.52,-1.081,-1.501,1.332,0.696
44,117.207,9.61,124.12,4.52,139.9,4.01,146.78,4.26,122.13,52.62,119.727,83.41,-21.8,377.1,22.4,-369.4,1.358,-18.7,24.6,-344.7,10.9,21,-301.1,10.9,-12.14,0.998,-0.36,1.351,0.066,1.138,-1.142,-0.22,1.333,0.335,7.81,-0.295,-2.786,1.344,0.697
45,116.901,9.48,123.91,4.77,139.82,3.63,146.95,4.26,122.634,51.86,121.374,83.54,-18.1,365,19,-357.6,1.369,-22.5,22.3,-335.4,7.8,21.9,-296.7,10.1,-8.07,1.14,-0.575,1.351,0.067,1.351,-1.928,0.1,1.337,0.336,6.1,0.135,-3.357,1.355,0.697
46,117.198,10.24,124.37,4.9,140.02,3.37,147.02,4.77,123.381,51.86,122.58,83.8,-16.6,362.3,17.4,-355,1.377,-25.3,21,-333.8,6.6,22.5,-295.3,11.2,-1.88,0.998,-0.603,1.351,0.067,1.262,-1.732,0.69,1.341,0.336,4.22,0.392,-2.667,1.367,0.696
47,117.054,9.99,124.08,4.77,140.11,3.75,146.99,4.26,124.155,51.47,124.272,82.9,-16.8,366.5,17.6,-359.1,1.384,-27.9,21,-337.2,6.6,24.4,-295,13.8,3.55,0.855,-0.289,1.351,0.067,1.209,-1.427,0.65,1.345,0.335,2.22,0.778,-1.928,1.378,0.695
48,117.423,10.12,124.36,5.03,140.01,3.25,147.01,4.01,124.866,51.6,125.442,82.9,-16.8,375,17.5,-367.3,1.39,-30.3,20.7,-343.7,7,27.3,-296.3,16.7,6.31,0.927,0.069,1.352,0.067,1.209,-0.57,-0.22,1.35,0.335,0.01,1.564,-1,1.39,0.693
49,117.441,9.99,124.64,5.28,140.16,3.12,147.04,4.52,125.235,51.09,126.603,82.78,-14.5,386.1,15.2,-378.2,1.396,-33.5,18.3,-352.3,5.9,27.9,-300.2,17.7,5.5,0.865,0.198,1.352,0.067,1.128,0.401,-1.19,1.355,0.334,-2.1,1.792,-0.266,1.402,0.691
50,117.504,9.99,124.2,4.9,139.6,3.63,146.85,4.01,126.099,51.09,127.818,82.65,-9.6,400.3,10.3,-392.4,1.406,-38.8,13,-364.3,2.3,23.4,-308.6,15.2,1.74,0.784,0.212,1.353,0.068,0.852,1.073,-1.64,1.36,0.333,-3.38,1.778,0.286,1.414,0.689
51,117.441,10.24,124.76,4.77,140.03,3.5,147.28,3.75,126.828,50.58,129.465,82.01,-3.8,418.8,4.2,-410.8,1.417,-45.1,6,-381.2,-2.3,14.5,-323,11.2,-2.68,0.284,0.426,1.354,0.068,0.494,1.573,-1.93,1.366,0.332,-3.24,1.277,0.644,1.427,0.687
52,118.143,10.24,125.17,5.28,140.18,3.63,147.18,4.14,127.998,50.84,131.436,82.4,2.2,441,-2.1,-432.7,1.412,-45.4,-0.9,-402.2,-0.1,5.7,-342.8,14.6,-5.69,-0.202,0.864,1.355,0.068,0.394,1.668,-2.99,1.371,0.332,-1.71,1.059,0.668,1.44,0.685
53,117.864,10.12,125.24,5.03,140.25,3.37,147.25,4.01,128.745,50.58,132.759,81.63,8.7,465.8,-9,-457,1.424,-53.5,-6.8,-426.3,-5,1,-366.2,12.2,-7.38,-0.431,1.568,1.356,0.068,1.137,1.788,-5.3,1.377,0.332,0.98,1.706,0.859,1.453,0.683
54,118.323,10.63,125.49,5.66,140.5,3.37,147.5,3.88,129.321,50.71,134.01,81.5,16.5,493.7,-16.8,-484.4,1.428,-58.8,-12.3,-453.7,-6.2,0.1,-393.6,14.7,-10.45,-0.431,2.282,1.357,0.069,2.351,1.716,-8.47,1.383,0.332,4.63,2.706,0.787,1.467,0.681
55,117.927,10.63,124.8,6.17,140.07,2.99,146.94,3.75,129.843,50.46,135.45,81.12,26.8,523.9,-27.1,-514.2,1.432,-64.8,-19.7,-483.6,-7.9,-2.5,-424.7,16.6,-17.81,-0.432,2.638,1.358,0.07,3.349,1.646,-11.61,1.389,0.333,8.63,3.421,0.43,1.481,0.68
56,118.206,10.63,125.61,5.92,140.5,3.37,147.24,3.88,131.031,50.71,137.214,81,40.1,552.6,-40.4,-542.9,1.436,-71.2,-30.9,-513,-10.4,-10.6,-456.2,16.5,-28.5,-0.405,2.061,1.359,0.072,3.726,1.203,-13.88,1.395,0.334,11.95,3.594,-0.065,1.495,0.679
57,118.62,10.75,125.94,7.06,140.7,3.5,147.45,3.75,132.363,50.58,139.113,81,54.8,576.8,-55,-567.5,1.44,-77.3,-43.5,-538.7,-12.5,-20.3,-484.2,16.1,-38.25,-0.007,1.635,1.36,0.074,4.706,0.789,-14.88,1.403,0.335,13.92,4.494,-0.356,1.511,0.677
58,118.908,12.15,125.89,7.7,140.65,4.01,147.39,4.14,133.569,50.71,140.67,80.61,68.1,595.8,-67.6,-586.9,1.444,-82.7,-53.3,-559.3,-12.4,-24.8,-506.3,18.3,-45.01,1.134,1.205,1.361,0.076,6.275,0.29,-14.71,1.411,0.337,14.82,5.781,-0.57,1.527,0.676
59,118.746,12.03,125.96,7.83,140.34,3.75,146.95,3.75,134.775,50.33,142.11,80.1,79.6,608.6,-77.9,-599.7,1.447,-87,-59.1,-573,-10,-22.7,-521.5,23.6,-49.94,2.988,1.389,1.362,0.079,7.657,0.138,-14.08,1.42,0.338,15.41,6.863,-0.799,1.544,0.674
60,119.034,12.66,126.03,8.46,140.41,3.75,147.02,3.88,136.098,50.33,143.892,80.23,90.8,612.1,-87.4,-602.8,1.451,-89.7,-63.1,-576.4,-6.4,-17.8,-527.1,29.5,-52.91,5.412,2.343,1.363,0.082,10.418,0.077,-13.69,1.431,0.34,16.49,8.926,-1.428,1.562,0.673
61,119.421,12.92,126.58,9.61,140.2,4.26,146.69,4.26,137.97,50.33,145.872,80.23,101.5,602.3,-96.4,-592.2,1.455,-89.8,-66.5,-566.1,-2.2,-13.2,-519,34.4,-52.39,7.623,3.557,1.365,0.085,12.488,-0.064,-13.68,1.443,0.342,18.57,10.284,-1.642,1.583,0.671
62,120.051,13.93,126.9,10.5,140.01,3.88,146.76,4.01,139.869,50.07,147.771,79.6,110.4,576.1,-103.8,-565,1.459,-86.7,-68.9,-538.7,2.3,-10.1,-492.1,37.3,-49.61,8.778,4.586,1.368,0.089,13.322,0.141,-13.46,1.458,0.343,21.54,10.133,-1.467,1.605,0.669
63,120.573,14.83,127.48,12.28,140.21,3.88,146.83,3.75,141.309,50.07,149.778,79.85,115.6,530.3,-107.7,-518.2,1.463,-79.7,-69.7,-491.1,6.5,-10.7,-442.7,37.2,-47.15,10.758,6.2,1.373,0.093,14.845,0.652,-11.96,1.476,0.345,24.59,10.359,-1.072,1.629,0.666
64,121.932,14.95,128.73,13.04,140.95,4.14,147.06,3.5,144.261,49.06,152.163,78.96,114.5,463,-105.7,-450.2,1.467,-68.6,-67.5,-421.9,10.1,-16,-370.1,33.6,-43.01,11.825,6.702,1.38,0.099,14.345,1.081,-8.16,1.497,0.347,27.13,8.218,-0.287,1.655,0.663
65,123.075,16.48,129.62,14.83,141.08,4.65,147.18,3.75,146.898,49.06,154.566,79.47,105.2,377.3,-95.5,-364.4,1.47,-54.3,-60.1,-335.2,12.5,-23.2,-279.2,27.5,-31.69,13.108,6.419,1.39,0.106,12.845,1.225,-1.88,1.52,0.349,29.35,5.077,0.427,1.683,0.66
66,125.226,17.37,132.15,16.1,141.94,5.28,148.31,2.99,150.201,48.55,157.644,78.83,88.2,282.1,-77.2,-269.9,1.474,-38.8,-46.1,-240.4,13.3,-27.5,-179.5,20.7,-10.02,14.032,4.728,1.402,0.115,10.256,1.277,6.33,1.547,0.351,31.19,1.541,1.331,1.713,0.658
